City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Bandrele,YT,2022-05-22 02:48:18,-12.9067,45.1914,78.55,83,0,10.36
270,Katherine,AU,2022-05-22 02:48:19,-14.4667,132.2667,88.12,33,9,10.36
271,Leningradskiy,RU,2022-05-22 02:48:19,69.3833,178.4167,34.25,96,100,11.34
272,Honiara,SB,2022-05-22 02:48:19,-9.4333,159.95,85.87,67,23,5.32
273,Bathsheba,BB,2022-05-22 02:48:20,13.2167,-59.5167,81.21,74,20,19.57
274,Jinchang,CN,2022-05-22 02:48:20,38.4953,102.1739,77.61,15,6,6.8
275,Lujan,AR,2022-05-22 02:49:21,-34.5703,-59.105,54.95,54,2,0.83
276,Riyadh,SA,2022-05-22 02:47:46,24.6877,46.7219,80.74,15,0,5.64
277,Neuquen,AR,2022-05-22 02:49:21,-38.9516,-68.0591,48.09,57,0,0.0
278,Batticaloa,LK,2022-05-22 02:49:22,7.7102,81.6924,83.71,62,99,4.14
279,Minab,IR,2022-05-22 02:49:22,27.1467,57.0801,80.92,36,0,2.3
280,Lagoa,PT,2022-05-22 02:49:23,39.05,-27.9833,62.06,95,100,2.46
281,Vilhena,BR,2022-05-22 02:49:23,-12.7406,-60.1458,63.81,80,7,0.63
282,Sorland,NO,2022-05-22 02:49:24,67.667,12.6934,44.46,91,100,4.79
283,Tshikapa,CD,2022-05-22 02:49:24,-6.4167,20.8,73.62,83,100,0.92
284,Hermanus,ZA,2022-05-22 02:49:24,-34.4187,19.2345,56.21,79,24,6.98
285,Buin,CL,2022-05-22 02:49:25,-33.7333,-70.75,62.06,46,100,1.99
286,Tongzi,CN,2022-05-22 02:49:25,28.7829,105.0877,66.94,81,100,2.37
287,Manuk Mangkaw,PH,2022-05-22 02:49:26,4.8,119.85,81.09,77,100,8.57
288,Wahiawa,US,2022-05-22 02:49:26,21.5028,-158.0236,82.72,69,73,6.76
289,Hami,CN,2022-05-22 02:49:27,42.8,93.45,85.32,15,7,1.92
290,Shubarkuduk,KZ,2022-05-22 02:49:27,49.1447,56.4872,44.29,67,10,10.25
291,Isangel,VU,2022-05-22 02:49:27,-19.55,169.2667,82.51,74,40,11.5
292,Anderson,US,2022-05-22 02:45:11,34.5334,-82.6499,76.19,84,20,8.05
293,Spring Hill,US,2022-05-22 02:47:20,28.4769,-82.5255,75.88,93,75,6.91
294,Elko,US,2022-05-22 02:49:28,41.0002,-115.5012,60.82,25,33,6.06
